division,school,nickname,logo
FBS,Central Florida,Knights,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fd/UCF_Knights_logo.svg/1280px-UCF_Knights_logo.svg.png
FBS,Cincinnati,Bearcats,https://s3.amazonaws.com/footballpedia/logo/Division+1/Cincinnati_University_Bearcats.png
FBS,Connecticut,Huskies,https://footballpedia.s3.amazonaws.com/logo/Division+1/Connecticut_Huskies.png
FBS,East Carolina,Pirates,https://footballpedia.s3.amazonaws.com/logo/Division+1/East_Carolina_Pirates.png
FBS,Houston,Cougars,https://s3.amazonaws.com/footballpedia/logo/Division+1/Houston_Cougars.png
FBS,Memphis,Tigers,https://footballpedia.s3.amazonaws.com/logo/Division+1/Memphis_Tigers.png
FBS,Navy,Midshipmen,https://s3.amazonaws.com/footballpedia/logo/Division+1/Navy_Midshipmen.png
FBS,South Florida,Bulls,https://footballpedia.s3.amazonaws.com/logo/Division+1/South_Florida_Bulls.png
FBS,Southern Methodist,Mustangs,https://s3.amazonaws.com/footballpedia/logo/Division+1/SMU_Mustangs.png
FBS,Temple,Owls,https://s3.amazonaws.com/footballpedia/logo/Division+1/Temple_Owls.png
FBS,Tulane,Green Wave,https://footballpedia.s3.amazonaws.com/logo/Division+1/Tulane_Green_Wave.png
FBS,Tulsa,Golden Hurricane,https://s3.amazonaws.com/footballpedia/logo/Division+1/Tulsa_Golden_Hurricane.png
FBS,Boston College,Eagles,https://footballpedia.s3.amazonaws.com/logo/Division+1/Boston_College_Eagles.png
FBS,Clemson,Tigers,https://s3.amazonaws.com/footballpedia/logo/Division+1/Clemson_Tigers.png
FBS,Duke,Blue Devils,https://s3.amazonaws.com/footballpedia/logo/Division+1/Duke_Blue_Devils.png
FBS,Florida State,Seminoles,https://footballpedia.s3.amazonaws.com/logo/Division+1/Florida_State_Seminoles.png
FBS,Georgia Tech,Yellow Jackets,https://s3.amazonaws.com/footballpedia/logo/Division+1/Georgia_Tech_Yellow_Jackets.png
FBS,Louisville,Cardinals,https://footballpedia.s3.amazonaws.com/logo/Division+1/Louisville_Cardinals.png
FBS,Miami (FL),Hurricanes,https://s3.amazonaws.com/footballpedia/logo/Division+1/Miami_Hurricanes.png
FBS,North Carolina,Tar Heels,https://s3.amazonaws.com/footballpedia/logo/Division+1/North_Carolina_Tar_Heels.png
FBS,North Carolina State,Wolfpack,https://s3.amazonaws.com/footballpedia/logo/Division+1/North_Carolina_State_Wolfpack.png
FBS,Pittsburgh,Panthers,https://s3.amazonaws.com/footballpedia/logo/Division+1/Pitt_Panthers.png
FBS,Syracuse,Orange,https://s3.amazonaws.com/footballpedia/logo/Division+1/Syracuse_Orange.png
FBS,Virginia,Cavaliers,https://footballpedia.s3.amazonaws.com/logo/Division+1/Virginia_Cavaliers.png
FBS,Virginia Tech,Hokies,https://s3.amazonaws.com/footballpedia/logo/Division+1/Virginia_Tech_Hokies.png
FBS,Wake Forest,Demon Deacons,https://s3.amazonaws.com/footballpedia/logo/Division+1/Wake_Forest_Demon_Decons.png
D3,Buena Vista,Beavers,https://footballpedia.s3.amazonaws.com/logo/Division+3/Buena_Vista_Beavers.png
D3,Central (IA),Dutch,https://footballpedia.s3.amazonaws.com/logo/Division+3/Central_Dutch.png
D3,Coe,Kohawks,https://footballpedia.s3.amazonaws.com/logo/Division+3/Coe_Kohawks.jpg
D3,Dubuque,Spartans,https://footballpedia.s3.amazonaws.com/logo/Division+3/Dubuque_Spartans.jpg
D3,Loras,Duhawks,https://footballpedia.s3.amazonaws.com/logo/Division+3/Loras_Duhawks.jpg
D3,Luther,Norse,https://footballpedia.s3.amazonaws.com/logo/Division+3/Luther_Norse.png
D3,Nebraska Wesleyan,Prairie Wolves,https://footballpedia.s3.amazonaws.com/logo/Division+3/Nebraska_Wesleyan_Prairie_Wolves.jpg
D3,Simpson (IA),Storm,https://footballpedia.s3.amazonaws.com/logo/Division+3/Simpson_Storm.png
D3,Wartburg,Knights,https://footballpedia.s3.amazonaws.com/logo/Division+3/Wartburg_Knights.png
D3,Belhaven,Blazers,https://footballpedia.s3.amazonaws.com/logo/Division+3/Belhaven_Blazers.jpg
D3,McMurry,War Hawks,https://footballpedia.s3.amazonaws.com/logo/Division+3/McMurry_War_Hawks.jpg
D3,East Texas Baptist,Tigers,https://footballpedia.s3.amazonaws.com/logo/Division+3/East_Texas_Baptist_Tigers.png
D3,Hardin-Simmons,Cowboys,https://footballpedia.s3.amazonaws.com/logo/Division+3/Hardin_Simmons_Cowboys.png
D3,Howard Payne,Yellow Jackets,https://footballpedia.s3.amazonaws.com/logo/Division+3/Howard_Payne_Yellow_Jackets.jpg
D3,Louisiana College,Wildcats,https://footballpedia.s3.amazonaws.com/logo/Division+3/Louisiana_Wildcats.jpg
D3,Mary Hardin-Baylor,Crusaders,https://footballpedia.s3.amazonaws.com/logo/Division+3/Mary+Hardin_Baylor_Crusaders.jpg
D3,Southwestern (TX),Pirates,https://footballpedia.s3.amazonaws.com/logo/Division+3/Southwestern_Pirates.png
D3,Sul Ross State,Lobos,https://footballpedia.s3.amazonaws.com/logo/Division+3/Sul_Ross_Lobos.png
D3,Texas Lutheran,Bulldogs,https://footballpedia.s3.amazonaws.com/logo/Division+3/Texas_Lutheran_Bulldogs.jpg
FBS,Baylor,Bears,https://footballpedia.s3.amazonaws.com/logo/Division+1/Baylor_Athletics.png
FBS,Iowa State,Cyclones,https://s3.amazonaws.com/footballpedia/logo/Division+1/Iowa_State_Cyclones.png
FBS,Kansas,Jayhawks,https://footballpedia.s3.amazonaws.com/logo/Division+1/Kansas_Jayhawks.png
FBS,Kansas State,Wildcats,https://footballpedia.s3.amazonaws.com/logo/Division+1/Kansas_State_Wildcats.png
FBS,Oklahoma,Sooners,https://s3.amazonaws.com/footballpedia/logo/Division+1/Oklahoma_Sooners.png
FBS,Oklahoma State,Cowboys,https://s3.amazonaws.com/footballpedia/logo/Division+1/Oklahoma_State_Cowboys.png
FBS,Texas,Longhorns,https://s3.amazonaws.com/footballpedia/logo/Division+1/Texas_Longhorns.png
FBS,Texas Christian,Horned Frogs,https://s3.amazonaws.com/footballpedia/logo/Division+1/TCU_Horned_Frogs.png
FBS,Texas Tech,Red Raiders,https://s3.amazonaws.com/footballpedia/logo/Division+1/Texas_Tech_Red_Raiders.png
FBS,West Virginia,Mountaineers,https://s3.amazonaws.com/footballpedia/logo/Division+1/West_Virginia_Mountaineers.png
FCS,Cal Poly,Mustangs,https://upload.wikimedia.org/wikipedia/commons/2/29/Calpolylogosports.png
FCS,California-Davis,Aggies,https://upload.wikimedia.org/wikipedia/en/thumb/1/13/UC_Davis_Aggies_logo.svg/1280px-UC_Davis_Aggies_logo.svg.png
