date,qna_count
2020-02-18,75
2020-02-17,169
2020-02-16,115
2020-02-15,153
2020-02-14,129
2020-02-13,143
2020-02-12,158
2020-02-11,160
2020-02-10,146
2020-02-09,109
2020-02-08,104
2020-02-07,155
2020-02-06,170
2020-02-05,148
2020-02-04,143
2020-02-03,126
2020-02-02,107
2020-02-01,107
2020-01-31,128
2020-01-30,137
2020-01-29,147
2020-01-28,149
2020-01-27,99
2020-01-26,69
2020-01-25,45
2020-01-24,86
2020-01-23,157
2020-01-22,140
2020-01-21,122
2020-01-20,137
2020-01-19,68
2020-01-18,82
2020-01-17,112
2020-01-16,125
2020-01-15,118
2020-01-14,130
2020-01-13,133
2020-01-12,91
2020-01-11,97
2020-01-10,107
2020-01-09,126
2020-01-08,122
2020-01-07,108
2020-01-06,90
2020-01-05,78
2020-01-04,108
2020-01-03,109
2020-01-02,91
2020-01-01,55
2019-12-31,70
2019-12-30,81
2019-12-29,77
2019-12-28,72
2019-12-27,69
2019-12-26,44
2019-12-25,54
2019-12-24,54
2019-12-23,43
2019-12-22,55
2019-12-21,58
2019-12-20,29
2019-12-19,47
2019-12-18,53
2019-12-17,43
2019-12-16,47
2019-12-15,55
2019-12-14,35
2019-12-13,32
2019-12-12,31
2019-12-11,50
2019-12-10,26
2019-12-09,35
2019-12-08,62
2019-12-07,34
2019-12-06,25
2019-12-05,47
2019-12-04,40
2019-12-03,24
2019-12-02,24
2019-12-01,39
2019-11-30,42
2019-11-29,18
2019-11-28,26
2019-11-27,46
2019-11-26,21
2019-11-25,18
2019-11-24,36
2019-11-23,19
2019-11-22,19
2019-11-21,31
2019-11-20,30
2019-11-19,19
2019-11-18,28
2019-11-17,47
2019-11-16,38
2019-11-15,42
2019-11-14,37
2019-11-13,52
2019-11-12,30
date,qna_count
2020-02-18,38
