date,qna_count
2020.02.18,28
2020.02.17,64
2020.02.16,22
2020.02.15,82
2020.02.14,26
date,qna_count
2020.02.18,29
2020.02.17,64
2020.02.16,22
2020.02.15,82
2020.02.14,70
2020.02.13,117
2020.02.12,197
2020.02.11,130
2020.02.10,28
2020.02.09,21
2020.02.08,21
2020.02.07,32
2020.02.06,36
2020.02.05,30
2020.02.04,30
2020.02.03,32
2020.02.02,16
2020.02.01,30
2020.01.31,38
2020.01.30,34
2020.01.29,41
2020.01.28,32
2020.01.27,29
2020.01.26,20
2020.01.25,14
2020.01.24,34
2020.01.23,36
2020.01.22,42
2020.01.21,38
2020.01.20,42
2020.01.19,34
2020.01.18,49
2020.01.17,49
2020.01.16,52
2020.01.15,43
2020.01.14,52
2020.01.13,34
2020.01.12,31
2020.01.11,34
2020.01.10,47
2020.01.09,48
2020.01.08,37
2020.01.07,40
2020.01.06,43
2020.01.05,51
2020.01.04,28
2020.01.03,27
2020.01.02,36
2020.01.01,26
2019.12.31,13
2019.12.30,19
2019.12.29,16
2019.12.28,16
2019.12.27,13
2019.12.26,21
2019.12.25,22
2019.12.24,14
2019.12.23,20
2019.12.22,19
2019.12.21,14
2019.12.20,11
2019.12.19,9
2019.12.18,15
2019.12.17,12
2019.12.16,15
2019.12.15,14
2019.12.14,16
2019.12.13,5
2019.12.12,16
2019.12.11,15
2019.12.10,13
2019.12.09,10
2019.12.08,14
2019.12.07,8
2019.12.06,11
2019.12.05,12
